Nome Controladora;Código Operadora;Nome Operadora;Nome Garagem;Data Operação;Código Interno Linha;Nome Linha;Código Externo Linha;Num Terminal;Passageiros;Catraca Pendente;KM Percorrido;Inteiras;Valor Inteiras;Quant VT Papel;Valor VT Papel;Gratuidade;Estudantes;Valor Estudantes;VT;Valor VT;VT Integração;Valor VT Integração;Passagens;Valor Passagens;Passagens Integração;Valor Passagens Integração;Viagem Programada;Viagem Realizada;EStudantes Integração;Valor Estudantes Integração;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;79;PEDRA FERRADA / TERMINAL CENTRAL - VIA CALDEIRAO;084;1;336;0;140,474;68;374;0;0;72;39;97,5;114;587,1;0;0;43;221,45;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;79;PEDRA FERRADA / TERMINAL CENTRAL - VIA CALDEIRAO;084;2;159;0;135,308;18;99;0;0;31;43;107,5;29;149,35;11;0;18;92,7;4;0;0;0;5;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;82;TERMINAL NORTE / TERMINAL CENTRAL VIA M QUITERIA;087;0;0;0;34,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;82;TERMINAL NORTE / TERMINAL CENTRAL VIA M QUITERIA;087;1;784;0;172,173;75;412,5;0;0;129;295;737,5;231;1189,65;2;0;52;267,8;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;82;TERMINAL NORTE / TERMINAL CENTRAL VIA M QUITERIA;087;2;499;0;193,856;38;209;0;0;91;166;415;74;381,1;52;0;17;87,55;11;0;0;0;50;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;83;UEFS - VIA SOBRADINHO;088;0;0;0;13,361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;83;UEFS - VIA SOBRADINHO;088;1;296;0;104,83;20;110;0;0;44;140;350;70;360,5;1;0;19;97,85;2;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;83;UEFS - VIA SOBRADINHO;088;2;162;0;134,393;7;38,5;0;0;17;76;190;22;113,3;11;0;4;20,6;3;0;0;0;22;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;239;CORREDOR ZEREZIN/TAPERA VIA TERMINAL AYRTON SENNA;097;0;0;0;21,354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;239;CORREDOR ZEREZIN/TAPERA VIA TERMINAL AYRTON SENNA;097;1;125;0;95,699;20;110;0;0;30;14;35;49;252,35;0;0;11;56,65;0;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;239;CORREDOR ZEREZIN/TAPERA VIA TERMINAL AYRTON SENNA;097;2;71;0;52,723;9;49,5;0;0;16;1;2,5;25;128,75;12;0;5;25,75;3;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;85;MANTIBA / PARQUE IPE / TERMINAL NORTE;098;0;0;0;24,793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;85;MANTIBA / PARQUE IPE / TERMINAL NORTE;098;1;37;0;44,369;5;27,5;0;0;6;5;12,5;13;66,95;0;0;8;41,2;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;85;MANTIBA / PARQUE IPE / TERMINAL NORTE;098;2;26;0;47,629;2;11;0;0;3;2;5;11;56,65;7;0;0;0;1;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;236;CANDEAL II VIA MATINHA;099;0;0;0;17,718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;236;CANDEAL II VIA MATINHA;099;1;109;0;51,046;13;71,5;0;0;13;9;22,5;52;267,8;0;0;22;113,3;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;236;CANDEAL II VIA MATINHA;099;2;18;0;18,979;1;5,5;0;0;3;0;0;3;15,45;6;0;0;0;4;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;221;FEIRA VI / MARIA QUITÉRIA VIA PONTO DA ZIG;104;0;0;0;40,336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;221;FEIRA VI / MARIA QUITÉRIA VIA PONTO DA ZIG;104;1;139;0;89,075;14;77;0;0;48;23;57,5;45;231,75;1;0;8;41,2;0;0;0;0;0;0;
